brand,name,old_price,old_price_cent,new_price,new_price_cent,reviews_rating_number,reviews_amount
MIZUNO,Tênis Mizuno Advance Rsp Corrida,666,56,66,66,,
MIZUNO,Tênis Mizuno Masculino Wave Stratos 2 - Original,799,99,80,,5.0,(1)
MIZUNO,Tênis Mizuno Masculino Wave Legend 2 Esportivo Corrida,639,90,460,72,,
PUMA,Tênis Puma Cell Divide V2 Masculino-  Preto-cinza,449,90,44,99,,
MIZUNO,Tênis Mizuno Victory Rsp Masculino Corrida,555,44,55,54,,
PUMA,Tênis Trinity Bmw M Motorsport Puma Tênis Trinity Bmw M Moto,699,90,484,90,5.0,(4)
PUMA,Puma Viz-Tech Viz Runner V2 BDP Masculino Adultos,333,22,33,32,4.6,(85)
PUMA,Tênis Puma Up Black & White Preto Original Masculino Casual,412,49,214,99,5.0,(43)
PUMA,Tênis Rs-trck New Horizon Puma Tênis Rs-trck New Horizon,629,90,62,99,,
LORENZZO LOPEZ,Tênis Masculino Para Academia E Corrida Super Macio E Leve,39,90,13,30,,
FILA,Tênis Masculino Corrida Fila Recovery - Original,379,99,334,39,5.0,(4)
MIZUNO,Tênis Masculino Mizuno Wave Endeavor Corrida Performance,749,90,547,42,,
REEBOK,Tênis Masculino Reebok Casual Royal Complete Sport,419,90,285,53,,
PUMA,Tênis Puma Haste Sl Bdp Masculino Esportivo,499,90,49,99,,
OLYMPIKUS,Tênis Olympikus Challenger 5 Masculino,359,90,281,48,,
MIZUNO,Tênis Mizuno Wave Dynasty 5 Masculino Corrida,549,90,395,92,5.0,(1)
MIZUNO,Tênis Mizuno Mirai 6 101081081 Marinho,499,90,49,99,,
MIZUNO,Tênis Mizuno Wave Zest Masculino,499,90,408,81,5.0,(2)
FILA,Tênis Fila Duality Masculino,349,90,297,41,,
ON RUNNING,On Running Cloudmonster 2 Masculino Branco/preto Adultos,1.149,99,114,,,
MIZUNO,Tênis Para Corrida Masculino Mizuno Wave Hawk 4 Esportivo,399,90,267,93,,
UNDER ARMOUR,Tenis Under Armour Dagger Basquete,399,90,39,99,5.0,(2)
MIZUNO,Tênis Masculino Mizuno Wave Endeavor Corrida Performance,749,90,532,42,,
OLYMPIKUS,Olympikus Casual Index 3 Masculino Adultos 43611218_1-004,189,99,142,99,4.8,(962)
MIZUNO,Tênis Para Corrida Masculino Mizuno Wave Vitality 5 Treino,479,90,345,52,,
PUMA,Tênis Puma Haste Sl Bdp Masculino,569,90,429,90,,
PUMA,Tênis Puma Masculino Cell Divide V2 Bdp Para Corrida,589,90,448,32,,
MIZUNO,Tênis Mizuno Space 4 Masculino Corrida - Caminhada,329,90,32,99,5.0,(4)
